title,category,description,level,date,durationMinutes,capacity,location,price,image,instructorName
Spinning sesión 001,Spinning,"Clase de Spinning pensada para mejorar técnica, energía y constancia semanal.",Intermedio,2026-07-04T19:00:00,50,18,Macarena Fit,18,,Álvaro Coach Spinning
Spinning sesión 002,Spinning,"Clase de Spinning pensada para mejorar técnica, energía y constancia semanal.",Avanzado,2026-07-05T11:00:00,60,9,Triana Studio,10,,Álvaro Coach Spinning
Yoga sesión 003,Yoga,"Clase de Yoga pensada para mejorar técnica, energía y constancia semanal.",Inicial,2026-06-17T09:00:00,75,23,Macarena Fit,8,,Manuel Coach Yoga
Yoga sesión 004,Yoga,"Clase de Yoga pensada para mejorar técnica, energía y constancia semanal.",Inicial,2026-07-02T17:00:00,45,14,Nervión Hub,15,,Manuel Coach Yoga
Spinning sesión 005,Spinning,"Clase de Spinning pensada para mejorar técnica, energía y constancia semanal.",Avanzado,2026-06-22T09:00:00,75,22,Nervión Hub,18,,Álvaro Coach Spinning
Boxeo sesión 006,Boxeo,"Clase de Boxeo pensada para mejorar técnica, energía y constancia semanal.",Intermedio,2026-07-17T09:00:00,50,22,Triana Studio,18,,Claudia Coach Boxeo
Spinning sesión 007,Spinning,"Clase de Spinning pensada para mejorar técnica, energía y constancia semanal.",Intermedio,2026-06-29T11:00:00,45,12,Centro Sevilla,15,,Álvaro Coach Spinning
HIIT sesión 008,HIIT,"Clase de HIIT pensada para mejorar técnica, energía y constancia semanal.",Avanzado,2026-07-09T19:00:00,75,20,Nervión Hub,18,,Sara Coach HIIT
Pilates sesión 009,Pilates,"Clase de Pilates pensada para mejorar técnica, energía y constancia semanal.",Avanzado,2026-06-27T07:00:00,50,19,Nervión Hub,15,,Paula Coach Pilates
Boxeo sesión 010,Boxeo,"Clase de Boxeo pensada para mejorar técnica, energía y constancia semanal.",Intermedio,2026-07-01T11:00:00,45,22,Centro Sevilla,12,,Claudia Coach Boxeo
Boxeo sesión 011,Boxeo,"Clase de Boxeo pensada para mejorar técnica, energía y constancia semanal.",Intermedio,2026-07-05T19:00:00,60,21,Nervión Hub,10,,Claudia Coach Boxeo
HIIT sesión 012,HIIT,"Clase de HIIT pensada para mejorar técnica, energía y constancia semanal.",Inicial,2026-06-12T19:00:00,45,17,Nervión Hub,10,,Sara Coach HIIT
Spinning sesión 013,Spinning,"Clase de Spinning pensada para mejorar técnica, energía y constancia semanal.",Avanzado,2026-07-01T11:00:00,45,10,Triana Studio,8,,Álvaro Coach Spinning
Spinning sesión 014,Spinning,"Clase de Spinning pensada para mejorar técnica, energía y constancia semanal.",Intermedio,2026-07-03T07:00:00,50,11,Triana Studio,8,,Álvaro Coach Spinning
Fuerza sesión 015,Fuerza,"Clase de Fuerza pensada para mejorar técnica, energía y constancia semanal.",Avanzado,2026-07-01T19:00:00,60,20,Centro Sevilla,12,,Santiago Coach Fuerza
Boxeo sesión 016,Boxeo,"Clase de Boxeo pensada para mejorar técnica, energía y constancia semanal.",Inicial,2026-07-10T19:00:00,45,17,Centro Sevilla,12,,Claudia Coach Boxeo
